time,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
3.836000,-300.016000,-1100.191364,-300.016217,0.000000,0.715256,0.292969,0.000217,2.532959,-1.680542,-2.093108
3.838000,-300.016000,-1100.190992,-300.016227,0.000000,11.157990,-0.292969,0.000227,2.532959,-1.228271,-3.126951
3.840000,-300.016000,-1100.191612,-300.016178,0.000000,-18.596649,1.464844,0.000178,1.831055,-1.356812,-1.711772
3.842000,-300.016000,-1100.190902,-300.016217,0.000000,21.314621,-1.171875,0.000217,1.831055,-1.571045,-3.016787
3.844000,-300.016000,-1100.191455,-300.016217,0.000000,-16.593933,0.000000,0.000217,1.953125,-1.047363,-2.160901
3.846000,-300.016000,-1100.191207,-300.016207,0.000000,7.438660,0.292969,0.000207,1.953125,-1.675781,-2.245642
3.848000,-300.016000,-1100.191045,-300.016207,0.000000,4.863739,0.000000,0.000207,2.722168,-1.104492,-2.915098
3.850000,-300.016000,-1100.191536,-300.016168,0.000000,-14.734268,1.171875,0.000168,2.722168,-1.418701,-1.660928
3.852000,-300.016000,-1100.190840,-300.016207,0.000000,20.885468,-1.171875,0.000207,3.222656,-1.437744,-3.059158
3.854000,-300.016000,-1100.191493,-300.016197,0.000000,-19.598007,0.292969,0.000197,3.222656,-1.066406,-1.906677
3.856000,-300.016000,-1100.191064,-300.016197,0.000000,12.874603,0.000000,0.000197,2.844238,-1.647217,-2.406650
3.858000,-300.016000,-1100.191121,-300.016207,0.000000,-1.716614,-0.292969,0.000207,2.844238,-1.014038,-2.660874
3.860000,-300.016000,-1100.191431,-300.016178,0.000000,-9.298325,0.878906,0.000178,1.995850,-1.475830,-1.686350
3.862000,-300.016011,-1100.190821,-300.016207,-0.251207,18.310547,-0.878906,0.000210,1.995850,-1.299683,-3.042209
3.864000,-300.016083,-1100.191517,-300.016158,-1.781664,-20.885468,1.464844,0.000179,1.623535,-1.109253,-1.677876
3.866000,-300.016261,-1100.190926,-300.016168,-4.657520,17.738342,-0.292969,0.000219,1.623535,-1.590088,-2.576133
3.868000,-300.016500,-1100.191207,-300.016158,-6.787914,-8.440018,0.292969,0.000207,2.160645,-0.961670,-2.432073
3.870000,-300.016739,-1100.191340,-300.016148,-7.181250,-4.005432,0.292969,0.000106,2.160645,-1.575806,-1.906677
3.872000,-300.016917,-1100.190921,-300.016197,-5.718336,12.588501,-1.464844,-0.000044,3.155518,-1.285400,-3.220166
3.874000,-300.016979,-1100.191641,-300.016188,-2.606050,-21.600723,0.292969,-0.000321,3.155518,-1.375854,-1.932100
3.876000,-300.017000,-1100.191007,-300.016236,-0.884947,19.025803,-1.464844,-0.000513,3.540039,-1.761475,-3.211692
